id,timestamp_analise,id_onibus,letreiro_linha,posicao_atual_lat,posicao_atual_lon,horario_posicao,proximo_ponto_previsto,horario_previsto_chegada
2785616,"2025-09-30 01:57:04.235357",11887,917H-10,-23.531218,-46.7371805,2025-08-14T20:42:36Z,440016921.0,08:39
2785617,"2025-09-30 01:57:04.235357",11882,917H-10,-23.486014,-46.7257505,2025-08-14T20:42:27Z,440016921.0,19:59
2785618,"2025-09-30 01:57:04.235357",11890,917H-10,-23.486014,-46.7257505,2025-08-14T20:42:57Z,70016782.0,00:11
2785619,"2025-09-30 01:57:04.235357",11456,917H-10,-23.5358485,-46.7264675,2025-08-14T20:42:59Z,440016921.0,01:54
2785620,"2025-09-30 01:57:04.235357",11907,917H-10,-23.5582825,-46.660157375,2025-08-14T20:42:59Z,70016782.0,09:12
2785621,"2025-09-30 01:57:04.235357",11910,917H-10,-23.53544925,-46.7118885,2025-08-14T20:42:31Z,440016921.0,08:21
2785622,"2025-09-30 01:57:04.235357",11903,917H-10,-23.589263,-46.634504,2025-08-14T20:43:01Z,440016921.0,01:04
2786454,"2025-09-30 01:57:04.235357",31266,4313-10,-23.583196,-46.407725,2025-08-14T20:42:33Z,540014587.0,06:10
2786456,"2025-09-30 01:57:04.235357",31240,4313-10,-23.540271,-46.542129,2025-08-14T20:42:39Z,540014576.0,08:45
2786457,"2025-09-30 01:57:04.235357",31028,4313-10,-23.5949145,-46.4410185,2025-08-14T20:42:24Z,540014585.0,08:10
2786458,"2025-09-30 01:57:04.235357",31241,4313-10,-23.54770925,-46.601538875,2025-08-14T20:42:54Z,820012014.0,23:27
2786460,"2025-09-30 01:57:04.235357",31251,4313-10,-23.5479245,-46.629473,2025-08-14T20:42:23Z,820012014.0,20:15
2786461,"2025-09-30 01:57:04.235357",31245,4313-10,-23.579996,-46.41152,2025-08-14T20:43:07Z,820012014.0,09:34
2786462,"2025-09-30 01:57:04.235357",31590,4313-10,-23.544070625,-46.59078425,2025-08-14T20:42:36Z,80014580.0,00:00
2786464,"2025-09-30 01:57:04.235357",31263,4313-10,-23.53547325,-46.549563,2025-08-14T20:42:57Z,80014597.0,09:09
2786465,"2025-09-30 01:57:04.235357",31096,4313-10,-23.581887,-46.4917525,2025-08-14T20:42:55Z,200012485.0,08:44
2786467,"2025-09-30 01:57:04.235357",31287,4313-10,-23.550840625,-46.6074375,2025-08-14T20:43:06Z,820012014.0,00:27
2786468,"2025-09-30 01:57:04.235357",31094,4313-10,-23.598322,-46.4618855,2025-08-14T20:42:58Z,200012487.0,19:04
2786898,"2025-09-30 01:57:04.235357",31169,4310-10,-23.546639,-46.631005,2025-08-14T20:42:39Z,100014412.0,08:35
2786901,"2025-09-30 01:57:04.235357",31204,4310-10,-23.544658,-46.59496375,2025-08-14T20:41:48Z,80014597.0,09:08
2786903,"2025-09-30 01:57:04.235357",31157,4310-10,-23.5348025,-46.4532225,2025-08-14T20:42:42Z,820012014.0,07:02
2786904,"2025-09-30 01:57:04.235357",31172,4310-10,-23.5465035,-46.63107,2025-08-14T20:43:03Z,820012014.0,22:16
2786905,"2025-09-30 01:57:04.235357",31180,4310-10,-23.5429115,-46.5874025,2025-08-14T20:42:48Z,540014575.0,21:52
2786906,"2025-09-30 01:57:04.235357",31154,4310-10,-23.5296085625,-46.516842375,2025-08-14T20:42:59Z,820012014.0,04:32
2786907,"2025-09-30 01:57:04.235357",31193,4310-10,-23.549139,-46.6256735,2025-08-14T20:42:34Z,540014577.0,08:49
2787491,"2025-09-30 01:57:04.235357",11886,917H-10,-23.4983085,-46.746239,2025-08-14T20:42:55Z,440016921.0,04:59
2787492,"2025-09-30 01:57:04.235357",11906,917H-10,-23.520248,-46.7524175,2025-08-14T20:42:41Z,440016921.0,00:18
2787494,"2025-09-30 01:57:04.235357",11894,917H-10,-23.531536625,-46.7342215,2025-08-14T20:42:34Z,440016921.0,06:28
2787496,"2025-09-30 01:57:04.235357",11893,917H-10,-23.5407565,-46.70155875,2025-08-14T20:42:26Z,440016921.0,21:24
2787497,"2025-09-30 01:57:04.235357",11901,917H-10,-23.5734135,-46.642413875,2025-08-14T20:43:00Z,440016921.0,21:57
2787498,"2025-09-30 01:57:04.235357",11823,917H-10,-23.5473585,-46.6892985,2025-08-14T20:42:25Z,70016916.0,08:20
2787499,"2025-09-30 01:57:04.235357",11888,917H-10,-23.502943625,-46.74680325,2025-08-14T20:42:27Z,70016782.0,00:22
2787500,"2025-09-30 01:57:04.235357",11898,917H-10,-23.5646643125,-46.652521875,2025-08-14T20:42:52Z,440016921.0,07:00
