id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
361238,2025-08-15 09:01:02.828951,78679,6044-10,-23.6429795,-46.7368055,2025-08-15T12:00:34Z,,,,,
361239,2025-08-15 09:01:02.828951,78899,6044-10,-23.642918,-46.741842,2025-08-15T12:00:32Z,,,,,
361240,2025-08-15 09:01:02.828951,78061,6044-10,-23.6413495,-46.724045000000004,2025-08-15T12:00:33Z,,,,,
361241,2025-08-15 09:01:02.828951,78271,6044-10,-23.676944,-46.7986715,2025-08-15T12:00:37Z,,,,,
361242,2025-08-15 09:01:02.828951,78594,6044-10,-23.677695,-46.793955499999996,2025-08-15T12:00:41Z,,,,,
361243,2025-08-15 09:01:02.828951,31504,4312-10,-23.552281,-46.619065500000005,2025-08-15T12:00:41Z,,,,,
361244,2025-08-15 09:01:02.828951,31521,4312-10,-23.567049250000004,-46.495264999999996,2025-08-15T12:00:21Z,,,,,
361245,2025-08-15 09:01:02.828951,31507,4312-10,-23.543128875,-46.50986225,2025-08-15T12:00:49Z,,,,,
361246,2025-08-15 09:01:02.828951,31716,4312-10,-23.5342275,-46.544989375,2025-08-15T12:00:54Z,,,,,
361247,2025-08-15 09:01:02.828951,31505,4312-10,-23.5428105,-46.587509,2025-08-15T12:00:50Z,,,,,
361248,2025-08-15 09:01:02.828951,78664,6042-10,-23.64273075,-46.7381735,2025-08-15T12:00:32Z,,,,,
361249,2025-08-15 09:01:02.828951,78138,6042-10,-23.672669,-46.7646945,2025-08-15T12:00:47Z,,,,,
361250,2025-08-15 09:01:02.828951,78560,6042-10,-23.6492035,-46.7505295,2025-08-15T12:00:47Z,,,,,
361251,2025-08-15 09:01:02.828951,78408,6042-10,-23.672669,-46.7646945,2025-08-15T12:00:49Z,,,,,
361252,2025-08-15 09:01:02.828951,15162,1020-10,-23.488023,-46.719959,2025-08-15T12:00:40Z,,,,,
361253,2025-08-15 09:01:02.828951,15208,1020-10,-23.4096475,-46.734919250000004,2025-08-15T12:00:48Z,,,,,
361254,2025-08-15 09:01:02.828951,15207,1020-10,-23.4845285,-46.709875,2025-08-15T12:00:56Z,,,,,
361255,2025-08-15 09:01:02.828951,73222,7001-10,-23.7243085,-46.754826,2025-08-15T12:00:42Z,,,,,
361256,2025-08-15 09:01:02.828951,73473,7001-10,-23.7243085,-46.754826,2025-08-15T12:00:57Z,,,,,
361257,2025-08-15 09:01:02.828951,7302,7001-10,-23.692809,-46.778341,2025-08-15T11:58:18Z,,,,,
361258,2025-08-15 09:01:02.828951,73477,7001-10,-23.702990999999997,-46.7835575,2025-08-15T12:00:53Z,,,,,
361259,2025-08-15 09:01:02.828951,73484,7001-10,-23.7154445,-46.769909999999996,2025-08-15T12:00:17Z,,,,,
361260,2025-08-15 09:01:02.828951,73011,707A-10,-23.609755937499997,-46.667901625,2025-08-15T12:00:55Z,,,,,
361261,2025-08-15 09:01:02.828951,73977,707A-10,-23.605380875,-46.657783249999994,2025-08-15T12:00:30Z,,,,,
361262,2025-08-15 09:01:02.828951,73980,707A-10,-23.671774,-46.7412225,2025-08-15T12:00:29Z,,,,,
361263,2025-08-15 09:01:02.828951,73008,707A-10,-23.65687525,-46.7063055,2025-08-15T12:00:49Z,,,,,
361264,2025-08-15 09:01:02.828951,73975,707A-10,-23.612598,-46.637903124999994,2025-08-15T12:00:39Z,,,,,
361265,2025-08-15 09:01:02.828951,73936,707A-10,-23.6858575,-46.7702995,2025-08-15T12:00:38Z,,,,,
361266,2025-08-15 09:01:02.828951,52062,4222-10,-23.6145845,-46.516324,2025-08-15T12:00:29Z,,,,,
361267,2025-08-15 09:01:02.828951,52039,4222-10,-23.5850175,-46.5895645,2025-08-15T12:00:59Z,,,,,
361268,2025-08-15 09:01:02.828951,52029,4222-10,-23.614827,-46.512039,2025-08-15T12:00:54Z,,,,,
361269,2025-08-15 09:01:02.828951,36577,3756-10,-23.564459,-46.415409499999996,2025-08-15T12:00:51Z,,,,,
361270,2025-08-15 09:01:02.828951,36115,3756-10,-23.57389625,-46.393416,2025-08-15T12:00:38Z,,,,,
361271,2025-08-15 09:01:02.828951,36570,3756-10,-23.591324,-46.389072,2025-08-15T12:00:14Z,,,,,
361272,2025-08-15 09:01:02.828951,13671,9014-10,-23.4755885,-46.7043435,2025-08-15T12:00:52Z,,,,,
361273,2025-08-15 09:01:02.828951,55014,4028-10,-23.5926885625,-46.4887616875,2025-08-15T12:00:53Z,,,,,
361274,2025-08-15 09:01:02.828951,55139,4028-10,-23.6051385,-46.480371500000004,2025-08-15T12:00:56Z,,,,,
361275,2025-08-15 09:01:02.828951,55253,4028-10,-23.593083,-46.4887815,2025-08-15T12:00:48Z,,,,,
361276,2025-08-15 09:01:02.828951,55507,4028-10,-23.629542999999998,-46.4528615,2025-08-15T12:00:22Z,,,,,
361277,2025-08-15 09:01:02.828951,55389,4028-10,-23.641942999999998,-46.438282,2025-08-15T12:00:36Z,,,,,
361278,2025-08-15 09:01:02.828951,55136,4028-10,-23.641942999999998,-46.438282,2025-08-15T12:00:19Z,,,,,
361279,2025-08-15 09:01:02.828951,52861,475R-10,-23.56742725,-46.648875000000004,2025-08-15T12:00:39Z,,,,,
361280,2025-08-15 09:01:02.828951,52847,475R-10,-23.655139,-46.613951,2025-08-15T12:00:39Z,,,,,
361281,2025-08-15 09:01:02.828951,52846,475R-10,-23.6079275,-46.6377185,2025-08-15T12:00:21Z,,,,,
